"id","name","address","city","latitude","longitude"
232,"BANK OF AMERICA","36 E 14TH ST","NEW YORK",40.73504,-73.992071
233,"HSBC BANK","15 UNION SQ W # C","NEW YORK",40.735838,-73.991309
234,"CHASE","471 W 42ND ST","NEW YORK",40.75941,-73.994792
235,"CITIBANK","401 W 42ND ST","NEW YORK",40.758498,-73.992632
236,"BANK OF CHINA","359 W 48TH ST","NEW YORK",40.7621299,-73.98901
237,"TD BANK","582 9TH AVE","NEW YORK",40.7584269,-73.99255
238,"ANTWERP DIAMOND BANK NV","1177 AVENUE OF THE AMERICAS#7","NEW YORK",40.7591429,-73.988207
239,"MANUFACTURERS HANOVER TRUST CO","2921 BRIDGE PLZ","NEW YORK",40.7591429,-73.988207
240,"CHASE","3 TIMES SQ","NEW YORK",40.75657,-73.987071
241,"CHASE","810 7TH AVE # 1","NEW YORK",40.762651,-73.982206
242,"BANK OF AMERICA","1680 BROADWAY","NEW YORK",40.76291,-73.98252
243,"OPEN SOCIETY INSTITUTE","1700 BROADWAY","NEW YORK",40.763813,-73.982511
244,"BANCO DE LA REPUBLICA","1700 BROADWAY # 3102","NEW YORK",40.763813,-73.982511
245,"FIRST NATIONAL BANK-LONG ISLND","1501 BROADWAY # 301","NEW YORK",40.7570119,-73.986323
246,"CHASE","1251 AVENUE OF THE AMERICAS","NEW YORK",40.76007,-73.981631
247,"DEVELOPMENT BANK OF JAPAN","1251 AVENUE OF THE AMERICAS","NEW YORK",40.76007,-73.981631
248,"PEOPLES BANK OF CHINA","1251 AVE OF THE AMERICAS #2380","NEW YORK",40.76007,-73.981631
249,"ROTHSCHILD NORTH AMERICA INC","1251 AVE OF THE AMERICAS # 51","NEW YORK",40.76007,-73.981631
250,"LLOYDS BANK","1251 AVENUE OF THE AMERICAS","NEW YORK",40.76007,-73.981631
251,"BANK OF TOKYO","1251 AVENUE OF THE AMERICAS","NEW YORK",40.76007,-73.981631
252,"SHINKIN CENTRAL BANK","1251 AVE OF THE AMERICAS # 38","NEW YORK",40.76007,-73.981631
253,"NATEXIS BANK","1251 AVENUE OF THE AMERICAS","NEW YORK",40.76007,-73.981631
254,"M&T BANK","830 8TH AVE","NEW YORK",40.76228,-73.98575
255,"BANK OF AMERICA","1633 BROADWAY","NEW YORK",40.761534,-73.984066
256,"TD BANK","1633 BROADWAY # 5","NEW YORK",40.761534,-73.984066
257,"INDUSTRIAL & COMMERCIAL BANK","1633 BROADWAY","NEW YORK",40.761534,-73.984066
258,"CITIBANK","787 7TH AVE # 2","NEW YORK",40.76168,-73.981791
259,"CHASE","787 7TH AVE # 1","NEW YORK",40.76168,-73.981791
260,"BNP PARIBAS","787 7TH AVE # 27","NEW YORK",40.76168,-73.981791
261,"BNP INTERNATIONAL FINANCIAL","787 7TH AVE # 29","NEW YORK",40.76168,-73.981791
262,"B & P POWEBALL BANK","787 7TH AVE","NEW YORK",40.76168,-73.981791
263,"SANOCH MANAGEMENT LLC","153 W 51ST ST","NEW YORK",40.761509,-73.982191
264,"BBVA","135 W 50TH ST # 16B","NEW YORK",40.76095,-73.982061
265,"MIZUHO TRUST & BANKING","135 W 50TH ST # 16A","NEW YORK",40.76095,-73.982061
266,"CITY NATIONAL BANK","120 W 45TH ST # 16R","NEW YORK",40.75701,-73.98391
267,"BANK OF AMERICA","1155 AVENUE OF THE AMERICAS 17","NEW YORK",40.75666,-73.98335
268,"CITIBANK","1155 AVENUE OF THE AMERICAS #2","NEW YORK",40.75666,-73.98335
