"id","name","address","city","longitude","latitude"
292,"RUBINOFF, MICHAEL","1196 AVENUE OF THE AMERICAS","NEW YORK",-73.9817928832,40.7579095
293,"M.R. KING PAWN SHOP INC.","230 BROOK AVE","BRONX",-73.9193466248,40.8072776
294,"ROCKAWAY GOLD BUYERS, INC.","10705 ROCKAWAY BLVD",,-73.8320581479,40.6784318
295,"SP GOLD TRADE, INC.","2695 CONEY ISLAND AVE","BROOKLYN",-73.9605506609,40.5908454
296,"E Z PAWN CORP.","2641 ATLANTIC AVE","BROOKLYN",-73.8968877952,40.6757892
297,"KINGS CLASS PAWN SHOP INC.","468 PORT RICHMOND AVE","STATEN ISLAND",-74.1389300518,40.6311409
298,"BRONX GOLD BUYERS INC.","710 LYDIG AVE","BRONX",-73.8672439223,40.854437
299,"OWL FINANCIAL GROUP, LLC","589 5TH AVE","NEW YORK",-73.978186734,40.7570702
300,"NY GOLD BUYER CORP","17202 JAMAICA AVE",,-73.7875698143,40.7076385
301,"G'S JEWELRY INC.","3938 62ND ST",,-73.9016856775,40.7468906
302,"ALPHA & OMEGA JEWELRY & ANTIQUES MARKET INC.","966 SOUTHERN BLVD","BRONX",-73.891666133,40.8221887
303,"EASY PAWN OF NY, INCL.","580 5TH AVE","NEW YORK",-73.9786152331,40.7566999
304,"UPAWN LTD","744 UTICA AVE","BROOKLYN",-73.9308085279,40.6550454
305,"LVL GROUP, INC.","9918 METROPOLITAN AVE",,-73.8533270931,40.7107957
306,"GENERATION JEWELERS LLC","5607 MYRTLE AVE",,-73.9048542802,40.7003292
307,"IDEAL WORLD TRADING CORP","1810 MCDONALD AVE","BROOKLYN",-142.798703718,-90
308,"GENERATION JEWELERS, LLC","5002 5TH AVE","BROOKLYN",-74.0104040707,40.6451132
309,"PYJT TRADING CORP.","3670 NOSTRAND AVE","BROOKLYN",-73.9408231913,40.5945288
310,"GP PAWN BROKER INC.","28 E MOUNT EDEN AVE","BRONX",-73.9140751447,40.8440055
311,"A AND E PAWN BROKERS, CORP.","690 ALLERTON AVE","BRONX",-73.8677047512,40.865367
312,"P&S PAWN, INC.","20406 HILLSIDE AVE",,-73.761080972,40.7202896
313,"WESTCHESTER PAWNBROKER II INC.","1511 WESTCHESTER AVE","BRONX",-73.8795993215,40.8286052
314,"YAIR USA, INC.","16712 HILLSIDE AVE",,-73.795564208,40.7097096
315,"MILANO FINE JEWELRY, INC","650 MANHATTAN AVE","BROOKLYN",-73.9510570354,40.7243761
316,"LLAVERIAS, MELVIN","272 E 198TH ST","BRONX",-73.8888581851,40.8688203
317,"NAMAT, INC.","36 W 47TH ST","NEW YORK",-73.9797721265,40.7571028
318,"BL2 INC.","767 3RD AVE","NEW YORK",-73.9718195541,40.7542624
319,"MARK'S PAWN SHOP LLC","75 W 47TH ST","NEW YORK",-73.9809187765,40.7577137
320,"1904 PALM JEWELRY INC.","1904 CHURCH AVE","BROOKLYN",-73.9620827867,40.6497567
321,"AMERICAN GOLD REFINERY, INC.","31 W 47TH ST","NEW YORK",-73.9795560953,40.757137
322,"GLOBAL WASH & CLEANER CORP","37 W 47TH ST","NEW YORK",-73.979741914,40.7572156
323,"DZHEMALI, KHUDASHVILI","45 W 47TH ST","NEW YORK",-73.9799896731,40.7573205
324,"RGA JEWELRY PAWNSHOP NEW INC.","1721 LEXINGTON AVE","NEW YORK",-73.9454910347,40.7932103
325,"GEM FINANCIAL SERVICES, INC.","2199 WESTCHESTER AVE","BRONX",-73.8519239572,40.8342307
326,"MASHKABOV, RUBIN","15340 HILLSIDE AVE",,-73.8044232039,40.707191
327,"FAST CASH 2011, INC.","91 GUYON AVE","STATEN ISLAND",-74.1277675766,40.5648303
328,"CASH EMPIRE LLC","2120 NOSTRAND AVE","BROOKLYN",-73.9478231833,40.6336629
329,"LENOX GOLD MARKET CORPORATION","475 MALCOLM X BLVD",,-73.9416086322,40.8131492
330,"S.Y.U. PAWN OF NY CORP","55 W 47TH ST","NEW YORK",-73.980299373,40.7574515
331,"PAWN RITE - 111-02 SUTPHIN BLVD, LLC","11102 SUTPHIN BLVD",,-73.7956660254,40.6886136
332,"PAWN RITE 2209 CHURCH AVENUE, LLC","2209 CHURCH AVE","BROOKLYN",-73.9585166093,40.6504517
333,"PAWN RITE - 214-50 JAMAICA AVE., LLC","21450 JAMAICA AVE",,-73.742838218,40.7165049
334,"WALL STREET GOLD BUYERS NYC, CORP.","156 1ST AVE","NEW YORK",-73.9845813339,40.7284462
335,"EMPIRE GOLD & PAWN OF QV INC.","21874 HEMPSTEAD AVE",,-73.735814725,40.7131836
336,"EMPIRE GOLD & PAWN OF QV II INC.","49 HUGH J GRANT CIR","BRONX",-73.8603520841,40.8334135
337,"GOLD RAIN, INC.","2912 GLENWOOD RD","BROOKLYN",-73.9486235862,40.6338878
338,"AL & AVI'S UNDERGROUND BARBER SHOP INC.","1308 FLATBUSH AVE","BROOKLYN",-73.9535280789,40.6382658
339,"BEST BUY GOLD LLC","2428 RALPH AVE","BROOKLYN",-73.9172517856,40.6187841
340,"EXPRESS BUYERS INC.","23 W 47TH ST","NEW YORK",-73.9793083376,40.7570321
341,"AMOROS, MARJORY","2155 GRAND CONCOURSE","BRONX",-73.9018255367,40.8547363
342,"ALLAN'S HOUSEHOLDS, INC.","281 NEPTUNE AVE","BROOKLYN",-73.9637475813,40.5812091
343,"FRANKIE'S 5 ANGELS VARIETY STORE, LLC","1362 SAINT JOHNS PL","BROOKLYN",-73.9332017627,40.6706502
344,"CIRILO GUZMAN","2521 WEBSTER AVE","BRONX",-73.8917093614,40.8614635
345,"EMPIRE GOLD & PAWN OF BX INC.","1054 SOUTHERN BLVD","BRONX",-73.8918447498,40.8245104
346,"EMPIRE GOLD & PAWN OF BX INC.","23416 LINDEN BLVD",,-73.7281666072,40.6908598
347,"MASTER JEWELRY CORP.","1542 FLATBUSH AVE","BROOKLYN",-73.9481772802,40.6332613
348,"IS IN PAWN CORP.","2619 86TH ST","BROOKLYN",-73.9846208667,40.5964307
349,"GA PAWNSHOP LTD.","3817 DYRE AVE","BRONX",-73.8313656679,40.8880664
350,"SEAPOD CAPITAL GROUP, LLC","7907 JAMAICA AVE",,-73.863301252,40.6920196
351,"YASHAYEV, YAKUB","10202 JAMAICA AVE",,-73.845336538,40.695103
