"id","name","address","city","latitude","longitude"
177,"Pay-O-Matic","1588 Fulton St","Brooklyn",40.679493,-73.937309
178,"Davila Associates Inc","158 Smith St","Brooklyn",40.686387,-73.991022
179,"Pay-O-Matic","158 Marcus Garvey Blvd","Brooklyn",40.693085,-73.940121
180,"Pay-O-Matic","1569 Pitkin Ave","Brooklyn",40.669047,-73.915366
181,"Fast Cash USA Inc","156 Havemeyer St","Brooklyn",40.711427,-73.957709
182,"Bedford Enterprises","1550 Bedford Ave","Brooklyn",40.669605,-73.955727
183,"David's Check Cashing","1534 Myrtle Ave","Brooklyn",40.699409,-73.912067
184,"POMCLB Check Cashing Inc","1532 Utica Ave","Brooklyn",40.63453,-73.928603
185,"Checks & More","1529 Flatbush Ave","Brooklyn",40.633734,-73.948243
186,"Pay-O-Matic","151 Vanderbilt Ave","Brooklyn",40.693404,-73.969833
187,"Check Cashing Place","1503 Newkirk Ave","Brooklyn",40.635841,-73.963203
188,"Island Check Cashing","1501 Pitkin Ave # C","Brooklyn",40.66862,-73.918233
189,"Fast Cash USA Inc","149 Havemeyer St","Brooklyn",40.711616,-73.957461
190,"Cash Unlimited","1486 Flatbush Ave","Brooklyn",40.634506,-73.949905
191,"Fast Cash USA Inc","145 Franklin St","Brooklyn",40.731349,-73.957905
192,"Abrs Check Cashing","1446 Nostrand Ave","Brooklyn",40.651059,-73.949853
193,"Pay-O-Matic","1445 Saint Johns Pl","Brooklyn",40.670868,-73.930244
194,"PLS Check Cashers","1445 Myrtle Ave","Brooklyn",40.699051,-73.917953
195,"Pay-O-Matic","1441 Saint Johns Pl","Brooklyn",40.670868,-73.930244
196,"David's Check Cashing","1431 Broadway","Brooklyn",40.688244,-73.919766
197,"Fast Cash Enterprise Inc","1430 Rockaway Pkwy","Brooklyn",40.645148,-73.902403
198,"Flatlands Checking","1427 Linden Blvd","Brooklyn",40.654936,-73.906977
199,"Flatland Checking","1411 Rockaway Pkwy","Brooklyn",40.645595,-73.902742
200,"Best Ever Checks","1350 46th St","Brooklyn",40.635754,-73.98926
201,"B & H Check Cashing Svc","135 Wyckoff Ave # B","Brooklyn",40.704166,-73.918503
202,"Cash Unlimited","1324 Broadway","Brooklyn",40.69016,-73.923331
203,"Dependable Check Cashing","1313 Avenue J","Brooklyn",40.625294,-73.962791
204,"Atm Business CTR Inc","130 Division Ave # A","Brooklyn",40.707493,-73.962845
205,"Pay-O-Matic","1294 Fulton St","Brooklyn",40.680325,-73.94913
206,"Atm Business Ctr","128 Bedford Ave","Brooklyn",40.71946,-73.956276
207,"G & J Check Cashing Corp","1279 E 100th St","Brooklyn",40.638872,-73.891089
208,"Cash Unlimited Inc","1278 Nostrand Ave","Brooklyn",40.655911,-73.950378
209,"Reliable Check Cashing II","1277 39th St","Brooklyn",40.640741,-73.986386
210,"Reliable Check Cashing","1275 50th St","Brooklyn",40.63469,-73.992987
211,"Reliable Check Cashing II","1275 39th St","Brooklyn",40.641014,-73.986524
212,"Ridge Check Cashing Corp","1274 Nostrand Ave","Brooklyn",40.656029,-73.950409
213,"Abrs Check Cashing Corp","1271 Ralph Ave","Brooklyn",40.645066,-73.919919
214,"C L B Check Cashing Corp","1267 Flatbush Ave","Brooklyn",40.639378,-73.954448
215,"Pay-O-Matic","126 Graham Ave","Brooklyn",40.705678,-73.942609
216,"Quick Cash Of Graham Avenue","125 Graham Ave","Brooklyn",40.706096,-73.943299
217,"David's Check Cashing","1234 Broadway","Brooklyn",40.691645,-73.925931
218,"H & S Check Cashing Svc","117 57th St","Brooklyn",40.646347,-74.022484
219,"Flatbush Check Cashing Inc","1154 Flatbush Ave","Brooklyn",40.641998,-73.957504
220,"Community Finance","1152 Myrtle Ave","Brooklyn",40.697078,-73.93395
221,"Quick Cash Of Broadway LLC","1150 Broadway","Brooklyn",40.693139,-73.928559
222,"Pay Matic","1139 Liberty Ave","Brooklyn",40.678852,-73.867447
223,"Checks & More","1135 Fulton St","Brooklyn",40.681458,-73.956243
224,"Muh Check Cashing Corp","1120 Metropolitan Ave","Brooklyn",40.71425,-73.932166
225,"Cfsc Check Cashing","112 Tompkins Ave","Brooklyn",40.695585,-73.946415
226,"Express Payment Ctr","1110 Pennsylvania Ave","Brooklyn",40.653272,-73.886837
227,"Global Debit Cash Card Inc","111 Livingston St","Brooklyn",40.691494,-73.989799
228,"AMB Check Cashing Corp","111 Lee Ave # 2","Brooklyn",40.704613,-73.958298
229,"Fast Cash Enterprise","111 Church Ave","Brooklyn",40.643049,-73.97897
230,"Cash Kitchen Inc","11 Graham Ave","Brooklyn",40.701424,-73.942474
231,"M W H Equities Corp","1088 Flatbush Ave","Brooklyn",40.643937,-73.957949
232,"Pay-O-Matic","1083 Manhattan Ave # A","Brooklyn",40.73558,-73.95546
233,"Pay-O-Matic","1075 Broadway","Brooklyn",40.694764,-73.930797
234,"Pay-O-Matic","106b Nassau Ave","Brooklyn",40.724173,-73.94954
235,"Slope Check Cashing Svc","1035 76th St","Brooklyn",40.623299,-74.013542
236,"Family Fiancal","1033 Flushing Ave # 1","Brooklyn",40.704075,-73.931015
237,"PLS Financial Svc","1021 Nostrand Ave # A","Brooklyn",40.663472,-73.950875
238,"Fast Cash USA","1017 Bedford Ave","Brooklyn",40.689198,-73.954727
239,"Check Cashing Place","1014 Cortelyou Rd","Brooklyn",40.639244,-73.968277
240,"Fast Cash Enterprises","101 Lenox Rd","Brooklyn",40.65384,-73.955962
241,"Mt Vernon Money Ctr","101 Clark St","Brooklyn",40.697258,-73.992066
242,"Fast Cash USA","1004 Flushing Ave","Brooklyn",40.703748,-73.931103
243,"Broadway Financial","100 Broadway # B","Brooklyn",40.710148,-73.965283
244,"Uneeda Check Cashing Inc","10 E Mount Eden Ave","Bronx",40.844245,-73.914614
245,"Pay-O-Matic","1030 Morris Ave","Bronx",40.829374,-73.916302
246,"Check Cashing Place","1034 Ogden Ave","Bronx",40.833928,-73.928758
247,"Subway Check Cashing Svc","1045 Westchester Ave","Bronx",40.82448,-73.892378
248,"640 Pay Ctr","107 Dreiser Loop","Bronx",40.877881,-73.828129
249,"Cash Enterprises","1075 Longfellow Ave","Bronx",40.825439,-73.888092
250,"Pay-O-Matic","11 E Gun Hill Rd","Bronx",40.882563,-73.880904
251,"Wink Check Cashing Corp","1135 Morris Park Ave","Bronx",40.850177,-73.851766
252,"Popular Cash Express Inc","1170 Castle Hill Ave","Bronx",40.831703,-73.850578
253,"Hunts Point Check Cashing Co","1175 Leggett Ave","Bronx",40.81171,-73.893768
254,"Uneeda Check Cashing Inc","120 E 167th St","Bronx",40.834577,-73.918328
255,"Pay-O-Matic","120 Featherbed Ln","Bronx",40.845879,-73.920067
256,"Pay-O-Matic","1202 Morrison Ave","Bronx",40.82974,-73.874602
257,"Pay-O-Matic","1204 Elder Ave","Bronx",40.828766,-73.879155
258,"Baychester Payment Ctr","1209 E 233rd St","Bronx",40.8889,-73.843143
259,"Pay-O-Matic","1245 Southern Blvd","Bronx",40.829784,-73.892227
260,"Rite Check Cashing Inc","1272 Castle Hill Ave","Bronx",40.833868,-73.851481
261,"Pay-O-Matic","1283 Westchester Ave","Bronx",40.827225,-73.887058
262,"Metro Check","1343 Ogden Ave # 4","Bronx",40.84119,-73.925141
263,"Rite Check Cashing Inc","1353 E Gun Hill Rd","Bronx",40.870574,-73.846329
264,"Pay-O-Matic","1360 Bruckner Blvd","Bronx",40.822292,-73.885376
265,"PTL Check Cashing","1377 Ogden Ave","Bronx",40.841974,-73.924538
266,"V & V Check Cashing Corp","1410 Zerega Ave","Bronx",40.837078,-73.84701
267,"Checkmatic Inc","1418 Ogden Ave","Bronx",40.843263,-73.923699
268,"Rite Check Cashing Inc","143 Bruckner Blvd","Bronx",40.80395,-73.920509
269,"Uniondale Check Cashing LTD","1435 Webster Ave # B","Bronx",40.83734,-73.906877
270,"Americash","1438 Williamsbridge Rd","Bronx",40.845904,-73.841365
271,"Cash To Go Atm LLC","144 Lawrence St","Bronx",40.837459,-73.92328
272,"Tri-Star Check Cashing Corp","145 W Kingsbridge Rd","Bronx",40.869587,-73.90359
273,"AA Payment Ctr Inc","1488 Williamsbridge Rd","Bronx",40.844172,-73.845851
274,"Check Cashing","15 E 183rd St","Bronx",40.858584,-73.903171
275,"Quick Cash E Gun Hill LLC","15 E Gun Hill Rd","Bronx",40.882491,-73.88079
276,"Pay-O-Matic","1500 Bruckner Blvd","Bronx",40.823303,-73.878479
277,"CSFC","1526 Unionport Rd","Bronx",40.836989,-73.857278
278,"Baychester Payment Ctr","153 E 149th St","Bronx",40.818951,-73.927666
279,"RDC Payroll Svc","1570 Watson Ave","Bronx",40.826309,-73.8762
280,"PLS Check Cashers","1580 Jerome Ave","Bronx",40.844331,-73.914695
281,"Pay-O-Matic","159 E 170th St","Bronx",40.839348,-73.914467
282,"Wink Check Cashing Corp","1615 Unionport Rd","Bronx",40.840926,-73.863381
283,"Pay-O-Matic","164 E 174th St","Bronx",40.844794,-73.909219
284,"Metropolitan Check Cashing","1661 Metropolitan Ave","Bronx",40.840604,-73.855334
285,"American Check Cashing","1690 Webster Ave","Bronx",40.842906,-73.903507
286,"Cash Is King The Ulti","1718 Purdy St # 6h","Bronx",40.841111,-73.854467
287,"Castle Financial Svc","1753 Crosby Ave","Bronx",40.846381,-73.831895
288,"Pay-O-Matic","1784 Westchester Ave","Bronx",40.831406,-73.866821
289,"Check Cashing Store","1792 Jerome Ave","Bronx",40.848573,-73.911664
290,"Check Cashing Place","1801 Mlk Jr Blvd # 4","Bronx",40.850575,-73.915579
291,"Uneeda Check Cashing Inc","1812 Archer St","Bronx",40.837532,-73.866443
292,"Franklin Check Cashing Corp","1815 Grand Concourse","Bronx",40.847489,-73.908529
293,"POM-Clb Check Cashing Inc","1865 Bruckner Blvd","Bronx",40.826412,-73.861801
294,"Two Bros Gas Corp","1865 Bruckner Blvd","Bronx",40.826412,-73.861801
295,"EASTCHESTER Check Cashing","189 W 231st St","Bronx",40.879032,-73.904137
296,"Kimball Check Cashing Corp","1893 Andrews Ave","Bronx",40.853698,-73.914123
297,"Pay-O-Matic","1908 Cross Bronx Expy # 2","Bronx",40.832512,-73.859886
298,"L M Check Cashiers Inc","1945 Dr Martin L King Jr","Bronx",40.854164,-73.912491
299,"David's Check Cashing","1998 Bruckner Blvd # 4","Bronx",40.826025,-73.856024
300,"Check Cashing Place","2031 Jerome Ave","Bronx",40.853467,-73.907766
301,"Eastchester Check Cashing","2046 Eastchester Rd # A","Bronx",40.85444,-73.843546
302,"Atm National LLC","210 E 188th St","Bronx",40.860912,-73.897141
303,"Ads Multiservices","212 E Burnside Ave","Bronx",40.851826,-73.903175
304,"Pay-O-Matic","2187 White Plains Rd","Bronx",40.856432,-73.867725
305,"King Of Cash","219 E Fordham Rd","Bronx",40.862388,-73.896293
306,"Pay-O-Matic","2193 Grand Concourse","Bronx",40.855715,-73.901287
307,"Wink Check Cashing Corp","2250 White Plains Rd","Bronx",40.858772,-73.867541
308,"Cash Transaction Inc","2260 Walton Ave","Bronx",40.857697,-73.902908
309,"Action Check Cashing Inc","232 E 194th St","Bronx",40.865251,-73.893314
310,"B X Cash Redemption","2330 Bassford Ave","Bronx",40.855951,-73.89158
311,"Pay-O-Matic","2356 Grand Concourse # 1","Bronx",40.858723,-73.898674
312,"Cortlandt Check Cashing Corp","239 W 238th St","Bronx",40.885093,-73.90048
313,"CHECK Cashing Place","241 E 167th St","Bronx",40.833707,-73.915189
314,"Rite Check Cashing Corp","2418 Williamsbridge Rd","Bronx",40.861416,-73.857547
315,"Action Check Cashing Corp","2430 Creston Ave","Bronx",40.860969,-73.899026
316,"Joe & Lisa Cash & Carry Inc","2438 Eastchester Rd","Bronx",40.862267,-73.842842
317,"Pay-O-Matic","2441 Jerome Ave # 1","Bronx",40.862442,-73.901741
318,"Pay-O-Matic","25 W 170th St","Bronx",40.840855,-73.918518
319,"Uneeda Check Cashing Inc","2521 Webster Ave","Bronx",40.861423,-73.891853
320,"Cash Transaction Inc","2539 Webster Ave","Bronx",40.862064,-73.891081
321,"Rite Check Cashing Svc","2591 Westchester Ave","Bronx",40.841026,-73.841751
322,"Fast Cash Inc","266 Willis Ave","Bronx",40.809577,-73.922488
323,"Fast Cash","2660 3rd Ave","Bronx",40.812862,-73.92337
324,"Check Cashing Place","2686 3rd Ave # 1","Bronx",40.81319,-73.92244
325,"Pay-O-Matic","269 E Tremont Ave","Bronx",40.848807,-73.903633
326,"Pay-O-Matic","271 E 149th St","Bronx",40.817481,-73.922728
327,"Check Cashing Place","274 E 198th St","Bronx",40.868779,-73.888742
328,"David's Money Ctr-Bronx","279 E 161st St","Bronx",40.825505,-73.918079
329,"Inner City Check Cashing","2800 Boston Rd","Bronx",40.866699,-73.860229
330,"ATM Cash Express","2801 White Plains Rd","Bronx",40.866928,-73.867416
331,"ATN Check Cashing","2829 Edson Ave","Bronx",40.868832,-73.833885
332,"Atm Cash Express","286 E 169th St","Bronx",40.835011,-73.912215
